dataset,fold,FCN,MotionGRU,ConvTran,ConvLSTM,VanTran,DisjointCNN,STGCN,LITEMV,H-Inception
EHE_reg_BWL,0,1.97067920911919,1.7644244922256,1.57420107146242,2.54271581148108,3.37962028522182,1.93159152998554,3.0990882281352,1.64749928412062,2.13224211417966
EHE_reg_BWL,1,2.78939519748092,2.66461602260492,2.82578035304323,2.15370030211551,3.98306985750262,2.74109467270651,2.95207332564252,3.14569037725617,3.83415659445205
EHE_reg_BWL,2,3.89432810295728,4.83896531643612,3.7975742548172,4.09302650800064,3.32071221084334,3.95286117971409,4.57694062501902,3.00782635479811,3.37539737401087
EHE_reg_BWL,3,2.19462183576364,1.14066129229748,1.90615249992026,2.17567815739088,0.964522750331805,2.09223901501928,1.81530197967704,1.10863263842363,2.16499569123754
EHE_reg_BWL,4,4.78267475999892,4.33834219425917,3.14132509678602,5.27209166251123,5.19592290408909,4.5765728443861,4.02340207016096,1.9414098653011,5.45533409304917
EHE_reg_BWR,0,2.80632273610681,2.86922777146004,2.47402843801926,3.21145533248782,3.3374593331789,3.0572789891623,2.58069091911117,2.80391567470506,3.36937902004768
EHE_reg_BWR,1,3.2437738074133,3.03164935169312,3.05503456174539,3.60067891831008,4.11399131210951,3.16661443944591,3.37137471397336,3.52804223054017,3.49991184430054
EHE_reg_BWR,2,2.63288589886257,2.96406571542112,2.54171247723778,2.83367023297719,2.44234637974628,2.82904146857493,2.94073479792901,2.10682853823528,2.70551705732942
EHE_reg_BWR,3,2.39166224869685,2.16147558788697,2.50083057019107,2.33105961090097,3.21469170524954,2.21184427738458,2.39650730122454,2.05556294916627,2.24665707020232
EHE_reg_BWR,4,2.77008240765264,3.78258783073533,2.29755823433313,3.79967876627695,3.61653487405978,3.140860775843,3.56575044305172,2.53854828310567,2.99846335327209
EHE_reg_HUD,0,2.12722776871589,2.10843634848586,1.91292443002264,2.61760434963637,3.18835086071933,2.10734403088551,2.41334007873579,1.94997546690758,2.23545360268542
EHE_reg_HUD,1,2.58470337679265,2.06105895913034,2.47153547840814,1.90874583729439,2.51904244689892,2.45399517874682,2.38707149290928,1.9913699713846,2.10234202182403
EHE_reg_HUD,2,2.24443033554902,2.55437393446531,1.92736018340414,2.84629709819953,2.54858257259087,2.53280773931959,2.71385961783429,1.94781499709934,2.99815402679766
EHE_reg_HUD,3,2.82028951415171,3.17406664689382,2.41624898314476,1.98005410209298,0.991172441840172,3.12726869756977,2.55450645405799,1.37914026541015,2.81377079493056
EHE_reg_HUD,4,4.46042297991614,3.6124261341989,3.36460942129294,3.60000366444389,3.98944604719679,4.49366125886639,3.71306157087286,2.99794138620297,4.01842201973001
EHE_reg_WB,0,4.42595894202324,3.60526423239415,4.20919406414032,3.90708616375923,3.96072634735278,4.42547151529496,3.33300523752613,3.84050611885531,4.07909232231655
EHE_reg_WB,1,4.47803720614563,4.30153295397759,5.31448847086479,3.98499977914616,3.2821182658275,3.98884175469478,4.29566085338593,4.04972332855687,4.09373840068777
EHE_reg_WB,2,5.17261946504004,4.82081115304027,4.68360765266698,4.17211781156948,3.44193290035764,5.15712262014858,4.60533692920581,3.7778063386213,4.94096484221518
EHE_reg_WB,3,3.06084006701907,1.91263990700245,3.17903388564785,1.78964513813456,2.27697482009729,3.39751144982874,2.91487091630697,1.96863345640401,2.61391989514232
EHE_reg_WB,4,6.60891650643732,5.53938031715474,5.68626583114799,5.91498227630343,4.03769740888051,5.76930768574987,5.38925779876964,3.68868000619114,6.07326364224511
EHE_reg_WF,0,4.04562772065401,3.80476629141984,3.99949304094272,4.27940943318286,3.55316093071763,4.84111670910248,2.90175416945879,3.45955289235072,3.67519273342831
EHE_reg_WF,1,4.65605859551579,4.37032016851784,5.17853265453596,3.78194896193842,2.99878714978695,5.07223870124047,3.65091101297488,3.78358129039407,4.6481553564469
EHE_reg_WF,2,3.6966837963555,4.22047277772799,4.32695182273164,4.69901568291243,3.42748332675546,3.87734162830748,4.85926584759727,2.77210366155486,4.05252833978739
EHE_reg_WF,3,3.06819888937753,2.30466221425741,2.81827432336286,3.37617383920588,2.55113338679075,3.05046678686631,3.57185648777522,2.78577694483101,2.49237423040904
EHE_reg_WF,4,4.73840392753482,4.06999113038182,5.19068873964716,5.04182070237584,4.0043030846864,5.57941174082225,5.04941362945829,3.35510967200389,4.49818991823122
EHE_reg_WH,0,2.80617811784826,2.56267387623137,1.98500886923549,2.24130629285267,4.66882061822848,2.29193936617142,2.33608613671227,2.48223685343383,3.75085228165104
EHE_reg_WH,1,1.95724780024851,1.55495092291762,1.84618782171267,1.74076622472528,2.41668040725156,1.98415002601413,2.6476444822243,1.44572712552241,2.80738137177575
EHE_reg_WH,2,2.77685190398791,2.74217638779693,2.88418379539578,2.57343080748872,2.5441611275622,3.0681009838562,2.23289642592029,2.10559566482538,3.00854027548396
EHE_reg_WH,3,1.57236050363216,1.26165652456823,1.07219635916667,1.816175325546,1.27890394063563,1.49036001516506,1.49223603539997,1.15550945947568,1.68234489249686
EHE_reg_WH,4,3.78477759849694,3.54454616568983,2.57221033299963,4.01617897384697,3.6535887344999,2.64204260422848,2.94701258548432,2.37139463035597,3.02297340205146
KIMORE_reg_LA,0,31.3435279578182,29.5212622093092,34.6066878629793,27.2910953723199,28.0971459283665,32.0039708577401,33.1134609117344,19.5749759567424,33.2931162081964
KIMORE_reg_LA,1,19.5798057814543,6.85501491910299,8.39338996213595,10.4928296395747,15.1038781393178,18.0092832515828,16.1629128047435,9.04526703937213,17.1073823173944
KIMORE_reg_LA,2,20.6623584537776,20.4520929117076,23.7845310826174,22.421127583491,27.8074205179087,33.6208561320178,22.821248000768,21.0334459949605,30.8342587273888
KIMORE_reg_LA,3,24.644949223942,31.6299424805705,21.0675266621971,28.0895736057027,33.2096430386353,32.7896133302116,26.4476214573034,12.9325540605577,25.568778041846
KIMORE_reg_LA,4,16.9479366622225,10.8132079722341,12.0083965343094,14.3511996151861,13.7845917028046,15.3613732258479,14.4444691620127,15.5353979269663,16.3347236297385
KIMORE_reg_LT,0,20.5095673746136,25.3664471560451,14.3546001687486,30.460404623848,33.7745423556083,21.6693836722347,24.5541925866849,13.2979195251352,20.4657485170732
KIMORE_reg_LT,1,11.4403312902433,28.9293305424436,10.0237917723032,23.8731755763118,24.1218464605045,13.2095072282032,31.5162546964518,7.02522642638127,11.8317766584539
KIMORE_reg_LT,2,50.9259458631277,38.4774207075437,36.9369710981846,43.9371941486994,34.9482058485349,50.6761728941153,32.8522982199987,29.7422168652217,39.3411096433798
KIMORE_reg_LT,3,19.2869247969373,36.1188323293654,10.0755612060897,39.2884784434764,36.2486481164424,26.1047549043624,41.3143507137426,17.5030109058559,21.6485635043565
KIMORE_reg_LT,4,31.0608437045487,21.3747136534182,20.6638474101502,26.3934753081131,28.4609105925687,27.2726072827655,28.7836905063121,23.9136092604129,25.7756770144828
KIMORE_reg_PR,0,23.3896743805695,20.5595926335229,28.8901076020289,17.1025610376031,30.3016902273669,31.4282558838585,23.810551691416,20.9580857393346,22.6048345950447
KIMORE_reg_PR,1,18.1168860853314,14.743889097182,24.4243985919909,15.5464550551033,15.455926289533,19.8315891583127,14.0355078615824,10.2694816070906,20.0413462573036
KIMORE_reg_PR,2,30.3703995306365,28.7152203181458,22.7738773583444,31.5406255681388,22.6137000579707,47.3037292196425,32.2180781025759,21.7424531662536,31.1084327359072
KIMORE_reg_PR,3,25.965012391177,16.7183432804871,16.316172994442,15.2376764344502,13.4652030793158,17.0880567435948,22.1115940466054,21.1108217234882,17.4207831984576
KIMORE_reg_PR,4,24.8316001652749,12.8398910900879,18.3473423380725,6.79587063599904,16.5674563984998,11.5686967711576,16.4976594588089,17.3279720305475,9.74115109601895
KIMORE_reg_Sq,0,25.0971234026909,38.3778582923807,29.1465326024114,35.9211956359591,30.5083894927216,31.0277145021357,32.3651474060386,22.8647449384471,16.7088823856681
KIMORE_reg_Sq,1,20.3653316462898,12.6514382923508,16.6303762081273,15.2234355882581,17.4469859160614,19.5622706179682,11.6312286016973,22.9340634626778,25.5558088677756
KIMORE_reg_Sq,2,30.86249776495,22.4110621213913,33.9669594665368,22.1031961838404,22.355859927152,35.6825817128023,18.5074518638992,30.6046040852865,26.3115137567123
KIMORE_reg_Sq,3,17.6848845393499,19.8580971073151,21.8787312758636,23.0903217424138,27.0394686092122,18.9239158939362,23.0770930875524,25.7940064639664,16.1389181972583
KIMORE_reg_Sq,4,29.3734707177607,23.3657101905274,19.9836832027562,23.5224393746185,31.2560528774134,18.2365422686863,24.5176114381282,19.801795320305,26.3943440458107
KIMORE_reg_TR,0,39.3703498742785,30.997560976696,29.1703727999279,26.1349546641486,40.0227743119376,42.2896298924038,38.6292415589469,25.542748969405,30.1373814417158
KIMORE_reg_TR,1,18.2115299221961,16.0332178677591,8.95927704723994,19.9691919701386,24.9994065259425,22.063822146488,20.104008306516,19.9642160750516,21.4910448948773
KIMORE_reg_TR,2,24.9290955048656,20.3279982525253,26.3984752446413,23.0573042233785,22.4535062430445,23.4571445502981,22.452153018926,18.9666875221475,20.0454857945442
KIMORE_reg_TR,3,25.4223795894369,22.8961671075948,27.4905460874367,27.8076673348872,22.0111064278666,16.8294073939451,24.6644542777125,19.447116684742,17.9338416258621
KIMORE_reg_TR,4,16.1505821347237,12.4065712572988,21.8727307518323,14.0092351517932,8.15267279563904,28.4538058936596,7.77782911875407,12.9908909400304,16.9873560450331
UIPRMD_reg_DS,0,0.0548914863008923,0.0552531067689259,0.0544958951653374,0.0472391936964458,0.0631531879938973,0.0595558116965823,0.0641536151165432,0.0453386585023668,0.0488364774698681
UIPRMD_reg_DS,1,0.0605640290456348,0.0472327216821246,0.0799645346450806,0.072588044532405,0.0454594068050384,0.0507786020681593,0.0311765213749143,0.0863548200021849,0.0527060733368661
UIPRMD_reg_DS,2,0.0353403211360507,0.0402966065512763,0.0276369294468561,0.03478663684739,0.0625625548458099,0.0308736421924167,0.0469855187898212,0.0300430132399665,0.0364841484740045
UIPRMD_reg_DS,3,0.0458999944464365,0.0323789435185326,0.036404370493359,0.0292395808267593,0.0441917113595538,0.0380238687997394,0.0456800814051098,0.0351631869485643,0.0507821232181125
UIPRMD_reg_DS,4,0.0248698908747567,0.0304987585337956,0.0222264471795823,0.0288765492688284,0.0408119382402631,0.0255091842953364,0.0418112176089816,0.0315167008770836,0.0424393440755208
UIPRMD_reg_HS,0,0.153254455485874,0.10851826816029,0.1141580808417,0.110223538180457,0.175160984356138,0.0951219777372148,0.199376571336322,0.108590034139421,0.138509100171195
UIPRMD_reg_HS,1,0.164806252218617,0.0572327690826522,0.0450553770897123,0.0784433102968003,0.191870173013475,0.060298425128195,0.172203581726816,0.0701776496050093,0.102527503448592
UIPRMD_reg_HS,2,0.130375050861571,0.123355175355275,0.0790092501629723,0.0920528788253996,0.149019557582008,0.0958261039182875,0.16381759244495,0.0850507500457763,0.105429582290649
