dataset,ConvTran,MotionGRU,LITEMV,ConvLSTM,DisjointCNN,VanTran,FCN,H-Inception,STGCN
IRDS_clf_bn_EFL,41.11808387756348,51.313970489501955,82.98618891716004,89.27309841156004,62.44736639022828,108.1660025405882,195.7911381053924,1257.440912027358,1227.45873779297
IRDS_clf_bn_EFR,42.3227600955963,52.03752026557923,72.9680255317688,107.43495205879226,71.91638654708865,122.2817720603942,167.0338371181485,1268.9031558609,1566.094019203188
IRDS_clf_bn_SAL,44.34512457847594,48.6011224937439,65.74208004951477,113.16532968521119,77.59139287948611,122.9886913585664,193.9843349552154,1176.79211473465,1887.8747910213483
IRDS_clf_bn_SAR,42.8273758983612,46.322476205825794,82.83047317504884,103.78944252014146,71.72422938346861,121.72765696525559,215.3812716579438,1221.06272825241,1537.7201482677478
IRDS_clf_bn_SFE,48.33447956085206,52.409403429031364,89.75519658088685,123.06066796302801,83.34066832542418,134.390943670273,199.3969070148468,1236.654632768632,1904.59119734764
IRDS_clf_bn_SFL,61.73653750419616,68.43265419960022,82.4015255355835,184.5217883491516,119.0037190723421,168.34580020904542,210.9214237117766,1219.969243240358,3118.7382632255562
IRDS_clf_bn_SFR,53.27790205955506,58.48104112625121,79.17487797737121,153.6809965896606,101.44822797775258,148.79904897689818,183.15461772918692,1228.000193223952,2551.56002181053
IRDS_clf_bn_STL,42.32695165634154,59.92129383087158,88.2510391139984,99.43624316215522,68.14811831474303,126.39911062240598,223.4173423767092,1226.271881980896,1343.919906997682
IRDS_clf_bn_STR,42.09843691825868,49.64719178199768,66.78812800407408,99.57744728088392,67.359780254364,121.588072385788,207.55247447013858,1232.6491913604718,1604.9219047927859
KERAAL_clf_bn_CTK,109.39941197236384,98.17957215309144,119.09588813781733,352.8012105385463,211.9838836193085,293.7854264497757,223.73520677884434,1280.6424981276166,6878.975468595825
KERAAL_clf_bn_ELK,110.22121330897016,95.87900390624996,136.11280400753017,333.2203843832015,209.9916772445042,301.4216597398122,211.74355226357784,1271.28501369953,5943.601292093594
KERAAL_clf_bn_RTK,101.00336877505008,105.1475005626679,117.54263998667399,317.6247560977935,195.76106523672732,274.92979079087564,234.10182196299232,1269.7818676312766,5606.576984524728
KERAAL_clf_mc_CTK,109.58380072116849,100.0288419087728,121.44873047669734,352.96566999753304,211.65681359767916,301.2709734121958,244.84145821730283,1274.4736648241683,6940.737859169643
